,id,home,away,exhibition,season,variable,change
26435,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_in2,AHMET DERELİ 82.dk
1085,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_out0,BEKİR YILMAZ 50
3035,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_out1,CEM ÖZDEMİR 66
4985,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_out2,MAGAYE SERIGNE FALILOU DIT NELSON GUEYE 82
6935,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,2016/17,h_out3,
32506,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_in0,VOLKAN ŞEN 17
34456,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_in1,EMMANUEL CHINENYE EMENIKE 72
36406,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_in2,OZAN TUFAN 64.dk
13006,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_out0,YİĞİTHAN GÜVELİ 17
14956,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_out1,MOUSSA SOW 72
16906,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,a_out2,JEREMAIN MARCIANO LENS 64.dk
22756,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_in0,REYNALDO DOS SANTOS SILVA 72
24706,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_in1,SERBAY CAN 89
26656,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_in2,YUSUF FIRAT KAPLAN 80.dk
1306,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_out0,CEM ÖZDEMİR 72
3256,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_out1,AHMET DERELİ 89
5206,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_out2,VINICIUS SANTOS SILVA 80
7156,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,2016/17,h_out3,
32265,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,a_in0,NİGEL DE JONG 60
34215,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,a_in1,SİNAN GÜMÜŞ 60
36165,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,a_in2,JOSUE FILIPE SOARES PESQUEIRA 83.dk
12765,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,a_out0,TOLGA CİĞERCİ 60
14715,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,a_out1,YASİN ÖZTEKİN 60
16665,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,a_out2,LUKAS JOSEF PODOLSKI 83.dk
22515,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,h_in0,AHMET DERELİ 69
24465,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,h_in1,EMRE UĞUR URUÇ 88
26415,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,h_in2,MAGAYE SERIGNE FALILOU DIT NELSON GUEYE 78.dk
1065,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,2016/17,h_out0,RONEI GLEISON RODRIGUES DOS REIS 69
