,id,home,away,exhibition,variable,sub_player
32453,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub6,ÖMER HASAN ŞİŞMANOĞLU
28553,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub4,KERİM FREİ
30503,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub5,OLCAY ŞAHAN
5153,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,h_sub2,CANBERK DİLAVER
24653,1253,ADANASPOR A.Ş.,BEŞİKTAŞ A.Ş.,ADANASPOR A.Ş. - BEŞİKTAŞ A.Ş.,a_sub2,MUHAMMED ENES DURMUŞ
8885,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,h_sub4,EDGAR BRUNO DA SILVA
24485,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,a_sub2,ERDEM ÖZGENÇ
22535,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,a_sub1,VIEUX YAKHYA SANE
10835,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,h_sub5,AHMET BAHÇIVAN
32285,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,a_sub6,SERCAN YILDIRIM
26435,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,a_sub3,JOSUA ARNOLD JOHN
20585,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,a_sub0,FEHMİ MERT GÜNOK
6935,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,h_sub3,BARIŞ MEMİŞ
1085,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,h_sub0,ETHEM ERCAN PÜLGİR
3035,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,h_sub1,MUSTAFA SAMİCAN KESKİN
12785,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,h_sub6,GORAN KARACIC
30335,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,a_sub5,SİNAN BAKIŞ
28385,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,a_sub4,RICARDO WILLIAM FATY
4985,1085,ADANASPOR A.Ş.,BURSASPOR,ADANASPOR A.Ş. - BURSASPOR,h_sub2,AHMET DERELİ
32506,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,a_sub6,MIROSLAV STOCH
3256,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,h_sub1,AHMET BAHÇIVAN
24706,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,a_sub2,OLEKSANDR KARAVAIEV
26656,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,a_sub3,VOLKAN ŞEN
1306,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,h_sub0,HAYRULLAH MERT AKYÜZ
22756,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,a_sub1,OZAN TUFAN
28606,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,a_sub4,EMMANUEL CHINENYE EMENIKE
20806,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,a_sub0,MAHMUT ERTUĞRUL TAŞKIRAN
9106,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,h_sub4,REYNALDO DOS SANTOS SILVA
5206,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,h_sub2,YUSUF FIRAT KAPLAN
11056,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,h_sub5,RODRIGO LONGO FREITAS
7156,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,h_sub3,SERBAY CAN
30556,1306,ADANASPOR A.Ş.,FENERBAHÇE A.Ş.,ADANASPOR A.Ş. - FENERBAHÇE A.Ş.,a_sub5,SALİH UÇAN
12765,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,h_sub6,VINICIUS JOSE IGNACIO
28365,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,a_sub4,JOSUE FILIPE SOARES PESQUEIRA
32265,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,a_sub6,LUIS PEDRO CAVANDA
3015,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,h_sub1,MUSTAFA SAMİCAN KESKİN
26415,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,a_sub3,SİNAN GÜMÜŞ
20565,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,a_sub0,CENK GÖNEN
30315,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,a_sub5,NİGEL DE JONG
24465,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,a_sub2,MARTIN LINNES
4965,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,h_sub2,AHMET DERELİ
10815,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,h_sub5,EMRE UĞUR URUÇ
8865,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,h_sub4,CANBERK DİLAVER
1065,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,h_sub0,İRFAN CAN EĞRİBAYAT
6915,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,h_sub3,MAGAYE SERIGNE FALILOU DIT NELSON GUEYE
22515,1065,ADANASPOR A.Ş.,GALATASARAY A.Ş.,ADANASPOR A.Ş. - GALATASARAY A.Ş.,a_sub1,SERDAR AZİZ
24711,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,a_sub2,SIARHEI KISLIAK
11061,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,h_sub5,CEM ÖZDEMİR
3261,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,h_sub1,OUSMANE VIERA DIARRASSOUBA
32511,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,a_sub6,NABIL GHILAS
7161,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,h_sub3,AHMET BAHÇIVAN
28611,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,a_sub4,BRUNO DA MOTA MIRANDA
30561,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,a_sub5,ERTEN ERSU
1311,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,h_sub0,HAYRULLAH MERT AKYÜZ
9111,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,h_sub4,MUSTAFA SAMİCAN KESKİN
13011,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,h_sub6,AHMET DERELİ
20811,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,a_sub0,ŞENOL CAN
26661,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,a_sub3,ALPAY KOÇAKLI
22761,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,a_sub1,EVANS KANGWA
5211,1311,ADANASPOR A.Ş.,GAZİANTEPSPOR,ADANASPOR A.Ş. - GAZİANTEPSPOR,h_sub2,CANBERK DİLAVER
28343,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,a_sub4,MARKO MILINKOVIC
4943,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,h_sub2,EMRE UĞUR URUÇ
6893,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,h_sub3,AHMET BAHÇIVAN
26393,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,a_sub3,COSMIN GABRIEL MATEI
10793,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,h_sub5,CEM ÖZDEMİR
30293,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,a_sub5,GUY LUCIEN MICHEL LANDEL
32243,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,a_sub6,TOKELO ANTHONY RANTIE
2993,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,h_sub1,AHMET DERELİ
24443,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,a_sub2,ANTE KULUSIC
8843,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,h_sub4,MUSTAFA SAMİCAN KESKİN
1043,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,h_sub0,İRFAN CAN EĞRİBAYAT
20543,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,a_sub0,NİHAT ŞAHİN
22493,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,a_sub1,KAMAL ISSAH
12743,1043,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,ADANASPOR A.Ş. - GENÇLERBİRLİĞİ,h_sub6,YUSUF FIRAT KAPLAN
24676,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,a_sub2,İLHAN DEPE
5176,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,h_sub2,ETHEM ERCAN PÜLGİR
22726,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,a_sub1,MARIUS VALERICA GAMAN
3226,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,h_sub1,OUSMANE VIERA DIARRASSOUBA
32476,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,a_sub6,FATİH ATİK
7126,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,h_sub3,AHMET BAHÇIVAN
1276,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,h_sub0,İRFAN CAN EĞRİBAYAT
12976,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,h_sub6,AHMET DERELİ
20776,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,a_sub0,ADRIANO FACHINI
26626,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,a_sub3,OSMAN ÇELİK
30526,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,a_sub5,MAHMUT AKAN
9076,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,h_sub4,MUSTAFA SAMİCAN KESKİN
11026,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,h_sub5,YUSUF FIRAT KAPLAN
28576,1276,ADANASPOR A.Ş.,KARDEMİR KARABÜKSPOR,ADANASPOR A.Ş. - KARDEMİR KARABÜKSPOR,a_sub4,SERDAR DELİKTAŞ
11020,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,h_sub5,AHMET DERELİ
30520,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,a_sub5,CRISTIAN DAVID GUANCA
3220,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,h_sub1,OUSMANE VIERA DIARRASSOUBA
5170,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,h_sub2,HALİL İBRAHİM PEHLİVAN
1270,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,h_sub0,HAYRULLAH MERT AKYÜZ
24670,1270,ADANASPOR A.Ş.,KASIMPAŞA A.Ş.,ADANASPOR A.Ş. - KASIMPAŞA A.Ş.,a_sub2,VASIL BOZHIKOV
